291.7	3.661	4.279
292.4	3.704	4.226
293.1	3.742	4.172
293.8	3.776	4.118
294.5	3.805	4.064
295.2	3.829	4.012
295.9	3.85	3.961
296.6	3.867	3.911
297.3	3.882	3.863
298	3.893	3.818
298.8	3.903	3.774
299.5	3.91	3.733
300.2	3.916	3.694
300.9	3.921	3.658
301.7	3.925	3.623
302.4	3.929	3.59
303.1	3.932	3.559
303.9	3.935	3.53
304.6	3.938	3.502
305.4	3.941	3.475
306.1	3.944	3.449
306.9	3.947	3.425
307.7	3.95	3.401
308.4	3.953	3.377
309.2	3.957	3.355
310	3.96	3.333
310.7	3.963	3.311
311.5	3.967	3.29
312.3	3.97	3.27
313.1	3.973	3.249
313.9	3.977	3.229
314.7	3.98	3.21
315.5	3.983	3.191
316.3	3.986	3.172
317.1	3.989	3.153
317.9	3.992	3.135
318.7	3.994	3.117
319.5	3.997	3.099
320.4	3.999	3.082
321.2	4.002	3.065
322	4.004	3.048
322.9	4.006	3.031
323.7	4.008	3.015
324.6	4.01	2.999
325.4	4.011	2.984
326.3	4.013	2.969
327.1	4.015	2.954
328	4.016	2.939
328.9	4.018	2.925
329.7	4.019	2.911
330.6	4.02	2.897
331.5	4.022	2.884
332.4	4.023	2.871
333.3	4.024	2.858
334.2	4.025	2.845
335.1	4.026	2.833
336	4.028	2.821
336.9	4.029	2.81
337.8	4.03	2.798
338.8	4.031	2.787
339.7	4.033	2.777
340.6	4.034	2.766
341.6	4.036	2.756
342.5	4.037	2.746
343.4	4.039	2.736
344.4	4.041	2.727
345.4	4.043	2.718
346.3	4.045	2.709
347.3	4.047	2.7
348.3	4.05	2.692
349.3	4.053	2.684
350.2	4.056	2.675
351.2	4.059	2.667
352.2	4.063	2.659
353.2	4.067	2.652
354.2	4.071	2.644
355.3	4.076	2.636
356.3	4.081	2.628
357.3	4.086	2.62
358.3	4.092	2.612
359.4	4.098	2.604
360.4	4.104	2.595
361.5	4.111	2.586
362.5	4.117	2.577
363.6	4.124	2.567
364.7	4.131	2.557
365.7	4.138	2.546
366.8	4.144	2.535
367.9	4.151	2.523
369	4.157	2.511
370.1	4.163	2.499
371.2	4.168	2.486
372.3	4.173	2.473
373.4	4.177	2.459
374.6	4.181	2.446
375.7	4.184	2.433
376.9	4.187	2.421
378	4.189	2.408
379.2	4.191	2.396
380.3	4.194	2.384
381.5	4.196	2.372
382.7	4.199	2.36
383.9	4.202	2.348
385	4.204	2.336
386.2	4.206	2.323
387.5	4.208	2.31
388.7	4.21	2.297
389.9	4.211	2.283
391.1	4.211	2.269
392.4	4.211	2.256
393.6	4.209	2.242
394.9	4.207	2.228
396.1	4.205	2.215
397.4	4.201	2.202
398.7	4.197	2.19
399.9	4.192	2.178
401.2	4.187	2.167
402.5	4.181	2.157
403.9	4.175	2.147
405.2	4.168	2.138
406.5	4.161	2.131
407.8	4.154	2.124
409.2	4.147	2.117
410.5	4.14	2.112
411.9	4.133	2.107
413.3	4.126	2.104
414.7	4.119	2.101
416.1	4.113	2.099
417.5	4.107	2.097
418.9	4.101	2.097
420.3	4.096	2.097
421.7	4.091	2.097
423.2	4.086	2.098
424.6	4.082	2.1
426.1	4.079	2.102
427.5	4.076	2.105
429	4.073	2.107
430.5	4.071	2.111
432	4.07	2.115
433.5	4.069	2.119
435	4.068	2.123
436.6	4.069	2.127
438.1	4.069	2.132
439.7	4.071	2.137
441.2	4.072	2.142
442.8	4.075	2.147
444.4	4.077	2.152
446	4.081	2.158
447.6	4.084	2.164
449.2	4.089	2.169
450.9	4.094	2.175
452.5	4.099	2.181
454.2	4.105	2.187
455.8	4.111	2.193
457.5	4.117	2.199
459.2	4.125	2.204
460.9	4.132	2.211
462.6	4.14	2.217
464.4	4.149	2.223
466.1	4.158	2.229
